"","Chemical.class","Standard.match"
"HILIC-pos_Cluster_0845",NA,NA
"HILIC-pos_Cluster_0852",NA,NA
"HILIC-pos_Cluster_0889","Phenols and derivatives",NA
"HILIC-pos_Cluster_0915",NA,NA
"HILIC-pos_Cluster_0930",NA,NA
"HILIC-pos_Cluster_0962","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_0975","Acylaminobenzoic acid and derivatives",NA
"HILIC-pos_Cluster_0986","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1047",NA,NA
"HILIC-pos_Cluster_1054","Quinolines and derivatives",NA
"HILIC-pos_Cluster_1073","Cinnamic acids and derivatives",NA
"HILIC-pos_Cluster_1078","1-benzopyrans",NA
"HILIC-pos_Cluster_1090","Furanoid lignans",NA
"HILIC-pos_Cluster_1102",NA,NA
"HILIC-pos_Cluster_1112","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1164","Naphthofurans",NA
"HILIC-pos_Cluster_1167",NA,NA
"HILIC-pos_Cluster_1240",NA,NA
"HILIC-pos_Cluster_1243","Quinolones and derivatives",NA
"HILIC-pos_Cluster_1275","Benzoquinolines",NA
"HILIC-pos_Cluster_1299","1-acyl-sn-glycero-3-phosphocholines",NA
"HILIC-pos_Cluster_1331",NA,NA
"HILIC-pos_Cluster_1336",NA,NA
"HILIC-pos_Cluster_1448","Terpene glycosides",NA
"HILIC-pos_Cluster_1456",NA,NA
"HILIC-pos_Cluster_1467",NA,NA
"HILIC-pos_Cluster_1469","Sesterterpenoids",NA
"HILIC-pos_Cluster_1477","Fatty acid esters",NA
"HILIC-pos_Cluster_1500",NA,NA
"HILIC-pos_Cluster_1513",NA,NA
"HILIC-pos_Cluster_1516","Androgens and derivatives",NA
"HILIC-pos_Cluster_1566",NA,NA
"HILIC-pos_Cluster_1616",NA,NA
"HILIC-pos_Cluster_1619",NA,NA
"HILIC-pos_Cluster_1633","1-(1Z-alkenyl)-glycero-3-phosphoethanolamines",NA
"HILIC-pos_Cluster_1657","Ergostane steroids",NA
"HILIC-pos_Cluster_1711","Diterpene glycosides",NA
"HILIC-pos_Cluster_1715",NA,NA
"HILIC-pos_Cluster_1724","Diazines",NA
"HILIC-pos_Cluster_1779",NA,NA
"HILIC-pos_Cluster_1795",NA,NA
"HILIC-pos_Cluster_1809",NA,NA
"HILIC-pos_Cluster_1833","Oligopeptides",NA
"HILIC-pos_Cluster_1923",NA,NA
"HILIC-pos_Cluster_1926","Sphingolipids",NA
"HILIC-pos_Cluster_1929",NA,NA
"HILIC-pos_Cluster_1935","Sphingolipids",NA
"HILIC-pos_Cluster_1950",NA,NA
"HILIC-pos_Cluster_1968",NA,NA
"HILIC-pos_Cluster_1970","1,2-diacylglycerols",NA
"HILIC-pos_Cluster_2005","Sesquiterpenoids",NA
"HILIC-pos_Cluster_2055","Tetraterpenoids",NA
"HILIC-pos_Cluster_2084","Abscisic acids and derivatives",NA
"HILIC-pos_Cluster_2109","Xanthophylls",NA
"HILIC-pos_Cluster_2111",NA,NA
"HILIC-pos_Cluster_2134",NA,NA
"HILIC-pos_Cluster_2149",NA,NA
"HILIC-pos_Cluster_2152","Flavonoids",NA
"HILIC-pos_Cluster_2174",NA,NA
"HILIC-pos_Cluster_2178",NA,NA
"HILIC-pos_Cluster_2182",NA,NA
"HILIC-pos_Cluster_2198",NA,NA
"HILIC-pos_Cluster_2225","Other hydroxyeicosapolyenoic acids",NA
"HILIC-pos_Cluster_2226",NA,NA
"HILIC-pos_Cluster_2233",NA,NA
"HILIC-pos_Cluster_2239",NA,NA
"HILIC-pos_Cluster_2243","Other hydroxyeicosapolyenoic acids",NA
"HILIC-pos_Cluster_2275","Sphingolipids",NA
"HILIC-pos_Cluster_2301","1,3-diacylglycerols",NA
"C18-neg_Cluster_0003",NA,NA
"C18-neg_Cluster_0011",NA,NA
"C18-neg_Cluster_0023","Hexoses",NA
"C18-neg_Cluster_0095","Benzopyrans",NA
"C18-neg_Cluster_0123",NA,NA
"C18-neg_Cluster_0126","Benzoxazines",NA
"C18-neg_Cluster_0134","1-benzopyrans",NA
"C18-neg_Cluster_0198",NA,NA
"C18-neg_Cluster_0201",NA,NA
"C18-neg_Cluster_0227","Phenylalanine and derivatives",NA
"C18-neg_Cluster_0251",NA,NA
"C18-neg_Cluster_0252","O-glycosyl compounds",NA
"C18-neg_Cluster_0253","O-glycosyl compounds",NA
"C18-neg_Cluster_0278",NA,NA
"C18-neg_Cluster_0279",NA,NA
"C18-neg_Cluster_0347",NA,NA
"C18-neg_Cluster_0348","Triacylglycerols",NA
"C18-neg_Cluster_0349","Long-chain fatty acids",NA
"C18-neg_Cluster_0350",NA,NA
"C18-neg_Cluster_0412","Long-chain fatty acids",NA
"C18-neg_Cluster_0424","Benzimidazoles",NA
"C18-neg_Cluster_0446","Hydroxyeicosatrienoic acids",NA
"C18-neg_Cluster_0448",NA,NA
"C18-neg_Cluster_0474","Long-chain fatty alcohols",NA
"C18-neg_Cluster_0481","Phenylbenzodioxanes",NA
"C18-neg_Cluster_0508","Quinolines and derivatives",NA
"C18-neg_Cluster_0619",NA,NA
"C18-neg_Cluster_0641","Organonitrogen compounds",NA
"C18-neg_Cluster_0658",NA,NA
"C18-neg_Cluster_0670","Fatty aldehydes",NA
"C18-neg_Cluster_0687","Ketones",NA
"C18-neg_Cluster_0697","Phenylacetamides",NA
"C18-neg_Cluster_0716","Fatty acyl glycosides",NA
"C18-neg_Cluster_0720","Indoles and derivatives",NA
"C18-neg_Cluster_0725","Phenylbenzodioxanes",NA
"C18-neg_Cluster_0739","Phenols",NA
"C18-neg_Cluster_0753",NA,NA
"C18-neg_Cluster_0778",NA,NA
"C18-neg_Cluster_0797","Fatty acyl glycosides of mono- and disaccharides",NA
"C18-neg_Cluster_0847","Sulfated steroids",NA
"C18-neg_Cluster_0915",NA,NA
"C18-neg_Cluster_0928",NA,NA
"C18-neg_Cluster_0955",NA,NA
"C18-neg_Cluster_0965",NA,NA
"C18-neg_Cluster_0990","Trihydroxy bile acids, alcohols and derivatives",NA
"C18-neg_Cluster_1006",NA,NA
"C18-neg_Cluster_1077","Vitamin D and derivatives",NA
"C18-neg_Cluster_1093",NA,NA
"C18-neg_Cluster_1101",NA,NA
"C18-neg_Cluster_1117",NA,NA
"C18-neg_Cluster_1156",NA,NA
"C18-neg_Cluster_1186",NA,NA
"C18-neg_Cluster_1195",NA,NA
"C18-neg_Cluster_1244",NA,NA
"C18-neg_Cluster_1311","N-acyl-alpha amino acids",NA
"C18-neg_Cluster_1319","Diterpenoids",NA
"C18-neg_Cluster_1320","Diterpenoids",NA
"C18-neg_Cluster_1406","Anilides",NA
"C18-neg_Cluster_1407","Triterpenoids",NA
"C18-neg_Cluster_1463","Cinnamic acids and derivatives",NA
"C18-neg_Cluster_1490",NA,NA
"C18-neg_Cluster_1634",NA,NA
"C18-neg_Cluster_1690",NA,NA
"C18-neg_Cluster_1698",NA,NA
"C18-neg_Cluster_1699",NA,NA
"C18-neg_Cluster_1701",NA,NA
"C18-neg_Cluster_1724",NA,NA
"C18-neg_Cluster_1756",NA,NA
"C18-neg_Cluster_1782",NA,NA
"C18-neg_Cluster_1836",NA,NA
"C18-neg_Cluster_1839",NA,NA
"C18-neg_Cluster_1856",NA,NA
"C18-neg_Cluster_1866","2-acyl-sn-glycero-3-phosphoethanolamines",NA
"C18-neg_Cluster_1932",NA,NA
"C18-neg_Cluster_2032","Oligopeptides",NA
"C18-neg_Cluster_2168",NA,NA
"C8-pos_Cluster_0189","Phenanthrenes and derivatives",NA
"C8-pos_Cluster_0233",NA,NA
"C8-pos_Cluster_0274",NA,NA
"C8-pos_Cluster_0538","Cholesterols and derivatives",NA
"C8-pos_Cluster_0593","Cholesterols and derivatives",NA
"C8-pos_Cluster_0622","Ergosterols and derivatives",NA
"C8-pos_Cluster_0669","Triterpenoids",NA
"C8-pos_Cluster_0710",NA,NA
"C8-pos_Cluster_0720",NA,NA
"C8-pos_Cluster_0724","Dihydroxy bile acids, alcohols and derivatives",NA
"C8-pos_Cluster_0738",NA,NA
"C8-pos_Cluster_0790","Cholesterols and derivatives",NA
"C8-pos_Cluster_0853",NA,NA
"C8-pos_Cluster_0856",NA,NA
"C8-pos_Cluster_0951",NA,NA
"C8-pos_Cluster_0964",NA,NA
"C8-pos_Cluster_0973","Annonaceous acetogenins",NA
"C8-pos_Cluster_0995",NA,NA
"C8-pos_Cluster_1010","Sphingolipids",NA
"C8-pos_Cluster_1015",NA,NA
"C8-pos_Cluster_1050",NA,NA
"C8-pos_Cluster_1053",NA,NA
"C8-pos_Cluster_1068","Sphingolipids",NA
"C8-pos_Cluster_1077",NA,NA
"C8-pos_Cluster_1087",NA,NA
"C8-pos_Cluster_1101",NA,NA
"C8-pos_Cluster_1157",NA,NA
"C8-pos_Cluster_1204","Tetrapyrroles and derivatives",NA
"C8-pos_Cluster_1218",NA,NA
"C8-pos_Cluster_1286","Tetrapyrroles and derivatives",NA
"C8-pos_Cluster_1306",NA,NA
"C8-pos_Cluster_1430","Beta-diketones",NA
"C8-pos_Cluster_1466","Phosphatidylethanolamines",NA
"C8-pos_Cluster_1527","1,2-diacylglycerols",NA
"C8-pos_Cluster_1544","Polyethylene glycols",NA
"C8-pos_Cluster_1545",NA,NA
"C8-pos_Cluster_1560",NA,NA
"C8-pos_Cluster_1662",NA,NA
"C8-pos_Cluster_1691",NA,NA
"C8-pos_Cluster_1720",NA,NA
"C8-pos_Cluster_1768",NA,NA
"C8-pos_Cluster_1790",NA,NA
"C8-pos_Cluster_1846","Tocotrienols",NA
"C8-pos_Cluster_1885",NA,NA
"C8-pos_Cluster_1894","Sphingolipids",NA
"C8-pos_Cluster_1905",NA,NA
"C8-pos_Cluster_1906","1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",NA
"C8-pos_Cluster_2125",NA,NA
"C8-pos_Cluster_2146","1-alkyl,2-acylglycero-3-phosphocholines",NA
"C8-pos_Cluster_2239",NA,NA
"C8-pos_Cluster_2350",NA,NA
"HILIC-neg_Cluster_0063",NA,NA
"HILIC-neg_Cluster_0114","Hydroxy acids and derivatives",NA
"HILIC-neg_Cluster_0135","Pyrroles",NA
"HILIC-neg_Cluster_0451","Dipeptides",NA
"HILIC-neg_Cluster_0531","Fatty acid esters",NA
"HILIC-neg_Cluster_0546","Dipeptides",NA
"HILIC-neg_Cluster_0598","Benzopyrans",NA
"HILIC-neg_Cluster_0859","Long-chain fatty acids",NA
"HILIC-neg_Cluster_0907","Fatty acid esters",NA
"HILIC-neg_Cluster_0925",NA,NA
"HILIC-neg_Cluster_0947",NA,NA
"HILIC-neg_Cluster_0958","Glutamine and derivatives",NA
"HILIC-neg_Cluster_1001","Long-chain fatty acids",NA
"HILIC-neg_Cluster_1031",NA,NA
"HILIC-neg_Cluster_1058","Long-chain fatty acids",NA
"HILIC-neg_Cluster_1072","Terpene glycosides",NA
"HILIC-neg_Cluster_1257",NA,NA
"HILIC-neg_Cluster_1292","Fatty acyl glycosides",NA
"HILIC-neg_Cluster_1349","Stilbenes",NA
"HILIC-neg_Cluster_1383",NA,NA
"HILIC-neg_Cluster_1434","Trihydroxy bile acids, alcohols and derivatives",NA
"HILIC-neg_Cluster_1506","Steroid glucuronide conjugates",NA
"HILIC-neg_Cluster_1595","Triterpenoids",NA
"HILIC-neg_Cluster_1682",NA,NA
"HILIC-neg_Cluster_1723",NA,NA
"HILIC-neg_Cluster_1781",NA,NA
"HILIC-neg_Cluster_1785",NA,NA
"HILIC-neg_Cluster_1827",NA,NA
"HILIC-pos_Cluster_0053",NA,NA
"HILIC-pos_Cluster_0343","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0414","Benzene and substituted derivatives",NA
"HILIC-pos_Cluster_0445",NA,NA
"HILIC-pos_Cluster_0465",NA,NA
"HILIC-pos_Cluster_0471",NA,NA
"HILIC-pos_Cluster_0484","Indoles and derivatives",NA
"HILIC-pos_Cluster_0519",NA,NA
"HILIC-pos_Cluster_0616",NA,NA
"HILIC-pos_Cluster_0635","Aminobenzamides",NA
"HILIC-pos_Cluster_0665",NA,NA
"HILIC-pos_Cluster_0813","Lactones",NA
"HILIC-pos_Cluster_0888","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_0974","Fatty acids and conjugates",NA
"HILIC-pos_Cluster_0999",NA,NA
"HILIC-pos_Cluster_1070","Monocyclic monoterpenoids",NA
"HILIC-pos_Cluster_1100",NA,NA
"HILIC-pos_Cluster_1161","Organonitrogen compounds",NA
"HILIC-pos_Cluster_1176","Lineolic acids and derivatives",NA
"HILIC-pos_Cluster_1417",NA,NA
"HILIC-pos_Cluster_1459",NA,NA
"HILIC-pos_Cluster_1542",NA,NA
"HILIC-pos_Cluster_1583","Monoalkylglycerophosphates",NA
"HILIC-pos_Cluster_1749","Acyl carnitines",NA
"HILIC-pos_Cluster_1806",NA,NA
"HILIC-pos_Cluster_1807",NA,NA
"HILIC-pos_Cluster_1815",NA,NA
"HILIC-pos_Cluster_1835",NA,NA
"HILIC-pos_Cluster_1853","Acyl carnitines",NA
"HILIC-pos_Cluster_1864",NA,NA
"HILIC-pos_Cluster_1867","Sphingolipids",NA
"HILIC-pos_Cluster_1884","Cyclic ketones",NA
"HILIC-pos_Cluster_1906",NA,NA
"HILIC-pos_Cluster_1925",NA,NA
"HILIC-pos_Cluster_1934",NA,NA
"HILIC-pos_Cluster_1951",NA,NA
"HILIC-pos_Cluster_1965",NA,NA
"HILIC-pos_Cluster_1975",NA,NA
"HILIC-pos_Cluster_2004",NA,NA
"HILIC-pos_Cluster_2087",NA,NA
"HILIC-pos_Cluster_2091","Diphenylmethanes",NA
"HILIC-pos_Cluster_2092","Tetrapyrroles and derivatives",NA
"HILIC-pos_Cluster_2162",NA,NA
"HILIC-pos_Cluster_2163",NA,NA
"HILIC-pos_Cluster_2236","Phosphatidylethanolamines",NA
"HILIC-pos_Cluster_2253","Phosphatidylethanolamines",NA
"C18-neg_Cluster_0008",NA,NA
"C18-neg_Cluster_0046","Indoles and derivatives",NA
"C18-neg_Cluster_0050","Toluenes",NA
"C18-neg_Cluster_0120","Indoles and derivatives",NA
"C18-neg_Cluster_0124","Furanoid fatty acids",NA
"C18-neg_Cluster_0127","Furoic acid derivatives",NA
"C18-neg_Cluster_0137","Fatty acids and conjugates",NA
"C18-neg_Cluster_0160","Ubiquinols",NA
"C18-neg_Cluster_0181","Pentose phosphates",NA
"C18-neg_Cluster_0191","Peptidomimetics",NA
"C18-neg_Cluster_0223","Long-chain fatty acids",NA
"C18-neg_Cluster_0281","Phenols",NA
"C18-neg_Cluster_0324","Linear 1,3-diarylpropanoids",NA
"C18-neg_Cluster_0325","Linear 1,3-diarylpropanoids",NA
"C18-neg_Cluster_0365",NA,NA
"C18-neg_Cluster_0423","Cinnamic acids and derivatives",NA
"C18-neg_Cluster_0428",NA,NA
"C18-neg_Cluster_0443",NA,NA
"C18-neg_Cluster_0540",NA,NA
"C18-neg_Cluster_0723","Salicylic acids",NA
"C18-neg_Cluster_0808","Stilbenes",NA
"C18-neg_Cluster_0912",NA,NA
"C18-neg_Cluster_0937","Diazinanes",NA
"C18-neg_Cluster_0999",NA,NA
"C18-neg_Cluster_1039",NA,NA
"C18-neg_Cluster_1137","1-monoacylglycerols",NA
"C18-neg_Cluster_1327",NA,NA
"C18-neg_Cluster_1427","Diterpenoids",NA
"C18-neg_Cluster_1482",NA,NA
"C18-neg_Cluster_1591","Acyclic diterpenoids",NA
"C18-neg_Cluster_1705",NA,NA
"C18-neg_Cluster_1800","Polyprenyl diphosphates",NA
"C18-neg_Cluster_1838","Triterpenoids",NA
"C18-neg_Cluster_2113",NA,NA
"C18-neg_Cluster_2114",NA,NA
"C18-neg_Cluster_2129","Benzenesulfonic acids and derivatives",NA
"C8-pos_Cluster_0186",NA,NA
"C8-pos_Cluster_0265","Organonitrogen compounds",NA
"C8-pos_Cluster_0280","Long-chain fatty acids",NA
"C8-pos_Cluster_0350",NA,NA
"C8-pos_Cluster_0384","Very long-chain fatty acids",NA
"C8-pos_Cluster_0577","Stigmastanes and derivatives",NA
"C8-pos_Cluster_0585","Cholesterols and derivatives",NA
"C8-pos_Cluster_0604","Naphthofurans",NA
"C8-pos_Cluster_0652","Tannins",NA
"C8-pos_Cluster_0848",NA,NA
"C8-pos_Cluster_0866","Triterpenoids",NA
"C8-pos_Cluster_1162","Sphingolipids",NA
"C8-pos_Cluster_1365","Trichothecenes",NA
"C8-pos_Cluster_1516",NA,NA
"C8-pos_Cluster_1543","1,3-diacylglycerols",NA
"C8-pos_Cluster_1737","Sphingolipids",NA
"C8-pos_Cluster_1812",NA,NA
"C8-pos_Cluster_1842",NA,NA
"C8-pos_Cluster_1883",NA,NA
"C8-pos_Cluster_1947","Sphingolipids",NA
"C8-pos_Cluster_1953","Sphingolipids",NA
"C8-pos_Cluster_2011","Sphingolipids",NA
"HILIC-neg_Cluster_0011","Carboxylic acid derivatives",NA
"HILIC-neg_Cluster_0057","Keto acids and derivatives",NA
"HILIC-neg_Cluster_0111","Keto acids and derivatives",NA
"HILIC-neg_Cluster_0275","N-acyl-L-alpha-amino acids",NA
"HILIC-neg_Cluster_0349","Pyrans",NA
"HILIC-neg_Cluster_0356","Keto acids and derivatives",NA
"HILIC-neg_Cluster_0404","Toluenes",NA
"HILIC-neg_Cluster_0607","Lactones",NA
"HILIC-neg_Cluster_0695","Furoic acid derivatives",NA
"HILIC-neg_Cluster_0774",NA,NA
"HILIC-neg_Cluster_0784",NA,NA
"HILIC-neg_Cluster_0837",NA,NA
"HILIC-neg_Cluster_0983","Linear 1,3-diarylpropanoids",NA
"HILIC-neg_Cluster_0985","Carboximidic acids and derivatives",NA
"HILIC-neg_Cluster_1022",NA,NA
"HILIC-neg_Cluster_1180",NA,NA
"HILIC-neg_Cluster_1232","Very long-chain fatty acids",NA
"HILIC-neg_Cluster_1242","Alkyl-phenylketones",NA
"HILIC-neg_Cluster_1245","Carboximidic acids and derivatives",NA
"HILIC-neg_Cluster_1285",NA,NA
"HILIC-neg_Cluster_1350","Stilbene glycosides",NA
"HILIC-neg_Cluster_1535",NA,NA
"HILIC-pos_Cluster_0140",NA,NA
"HILIC-pos_Cluster_0154",NA,NA
"HILIC-pos_Cluster_0286","Quinoline carboxylic acids",NA
"HILIC-pos_Cluster_0317",NA,NA
"HILIC-pos_Cluster_0366","Ketones",NA
"HILIC-pos_Cluster_0393","Indoles and derivatives",NA
"HILIC-pos_Cluster_0423","Diazines",NA
"HILIC-pos_Cluster_0492","Diazines",NA
"HILIC-pos_Cluster_0501","Diazines",NA
"HILIC-pos_Cluster_0589",NA,NA
"HILIC-pos_Cluster_0600",NA,NA
"HILIC-pos_Cluster_0628",NA,NA
"HILIC-pos_Cluster_0633",NA,NA
"HILIC-pos_Cluster_0641","Benzoic acid esters",NA
"HILIC-pos_Cluster_0698",NA,NA
"HILIC-pos_Cluster_0796","Ketones",NA
"HILIC-pos_Cluster_0904","Long-chain fatty acids",NA
"HILIC-pos_Cluster_0994","Linear 1,3-diarylpropanoids",NA
"HILIC-pos_Cluster_0996","Carboximidic acids and derivatives",NA
"HILIC-pos_Cluster_0997","Carboximidic acids and derivatives",NA
"HILIC-pos_Cluster_1009","Phenols and derivatives",NA
"HILIC-pos_Cluster_1029","Phenols",NA
"HILIC-pos_Cluster_1044",NA,NA
"HILIC-pos_Cluster_1127","Gluco/mineralocorticoids, progestogins and derivatives",NA
"HILIC-pos_Cluster_1129",NA,NA
"HILIC-pos_Cluster_1138","Gluco/mineralocorticoids, progestogins and derivatives",NA
"HILIC-pos_Cluster_1198",NA,NA
"HILIC-pos_Cluster_1265",NA,NA
"HILIC-pos_Cluster_1386","Salicylic acids",NA
"HILIC-pos_Cluster_1400",NA,NA
"HILIC-pos_Cluster_1507","Stilbene glycosides",NA
"HILIC-pos_Cluster_1519","Stigmastanes and derivatives",NA
"HILIC-pos_Cluster_1524","Cholesterols and derivatives",NA
"HILIC-pos_Cluster_1756","Spirosolanes and derivatives",NA
"HILIC-pos_Cluster_1778","Diterpenoids",NA
"HILIC-pos_Cluster_1813",NA,NA
"HILIC-pos_Cluster_1814",NA,NA
"HILIC-pos_Cluster_1952","Long-chain fatty alcohols",NA
"HILIC-pos_Cluster_1953","Sphingolipids",NA
"HILIC-pos_Cluster_1989",NA,NA
"HILIC-pos_Cluster_1995","Sphingolipids",NA
"HILIC-pos_Cluster_2128",NA,NA
"HILIC-pos_Cluster_2211","Phosphatidylethanolamines",NA
"HILIC-pos_Cluster_2228",NA,NA
"HILIC-pos_Cluster_2294","Phosphatidylethanolamines",NA
"HILIC-pos_Cluster_2311","Phosphatidylethanolamines",NA
"HILIC-pos_Cluster_2313","Phosphatidylethanolamines",NA
"HILIC-pos_Cluster_2341",NA,NA
"HILIC-pos_Cluster_2343",NA,NA
"HILIC-pos_Cluster_2355",NA,NA
"HILIC-pos_Cluster_2360",NA,NA
"HILIC-pos_Cluster_2368",NA,NA
"C18-neg_Cluster_0041",NA,NA
"C18-neg_Cluster_0074","Lactones",NA
"C18-neg_Cluster_0108","Indoles and derivatives",NA
"C18-neg_Cluster_0135","Fatty acids and conjugates",NA
"C18-neg_Cluster_0151",NA,NA
"C18-neg_Cluster_0617","Acylaminobenzoic acid and derivatives",NA
"C18-neg_Cluster_0646",NA,NA
"C18-neg_Cluster_0680","Sulfated steroids",NA
"C18-neg_Cluster_0694",NA,NA
"C18-neg_Cluster_0696","Phenylacetamides",NA
"C18-neg_Cluster_0771","Benzoquinolines",NA
"C18-neg_Cluster_0877","Long-chain fatty alcohols",NA
"C18-neg_Cluster_1098","Benzopyrans",NA
"C18-neg_Cluster_1159",NA,NA
"C18-neg_Cluster_1162",NA,NA
"C18-neg_Cluster_1176",NA,NA
"C18-neg_Cluster_1177",NA,NA
"C18-neg_Cluster_1242",NA,NA
"C18-neg_Cluster_1261","Triterpenoids",NA
"C18-neg_Cluster_1323",NA,NA
"C18-neg_Cluster_1334",NA,NA
"C18-neg_Cluster_1343","Dimethoxybenzenes",NA
"C18-neg_Cluster_1369",NA,NA
"C18-neg_Cluster_1370",NA,NA
"C18-neg_Cluster_1405",NA,NA
"C18-neg_Cluster_1497",NA,NA
"C18-neg_Cluster_1502",NA,NA
"C18-neg_Cluster_1514",NA,NA
"C18-neg_Cluster_1530",NA,NA
"C18-neg_Cluster_1535",NA,NA
"C18-neg_Cluster_1541",NA,NA
"C18-neg_Cluster_1584","Triterpenoids",NA
"C18-neg_Cluster_1600",NA,NA
"C18-neg_Cluster_1602",NA,NA
"C18-neg_Cluster_1638",NA,NA
"C18-neg_Cluster_1685","Cycloartanols and derivatives",NA
"C18-neg_Cluster_1700","2-monoacylglycerols",NA
"C18-neg_Cluster_1708","Triterpenoids",NA
"C18-neg_Cluster_1710",NA,NA
"C18-neg_Cluster_1787",NA,NA
"C18-neg_Cluster_1788",NA,NA
"C18-neg_Cluster_1833",NA,NA
"C18-neg_Cluster_1901",NA,NA
"C18-neg_Cluster_1943","Oligopeptides",NA
"C18-neg_Cluster_2014",NA,NA
"C18-neg_Cluster_2048",NA,NA
"C18-neg_Cluster_2079",NA,NA
"C18-neg_Cluster_2095",NA,NA
"C18-neg_Cluster_2135",NA,NA
"C18-neg_Cluster_2176",NA,NA
"C8-pos_Cluster_0245","Lactones",NA
"C8-pos_Cluster_0431","Benzopyrans",NA
"C8-pos_Cluster_0482","Acyclic diterpenoids",NA
"C8-pos_Cluster_0633",NA,NA
"C8-pos_Cluster_0808",NA,NA
"C8-pos_Cluster_0823","Terpene glycosides",NA
"C8-pos_Cluster_1177",NA,NA
"C8-pos_Cluster_1184",NA,NA
"C8-pos_Cluster_1278",NA,NA
"C8-pos_Cluster_1415",NA,NA
"C8-pos_Cluster_2126",NA,NA
"HILIC-neg_Cluster_0410","Phenol esters",NA
"HILIC-neg_Cluster_0584","P-methoxybenzoic acids and derivatives",NA
"HILIC-neg_Cluster_0719",NA,NA
"HILIC-neg_Cluster_1147","Amino acids, peptides, and analogues",NA
"HILIC-neg_Cluster_1252","Cinnamic acids and derivatives",NA
"HILIC-neg_Cluster_1265",NA,NA
"HILIC-neg_Cluster_1283","Phenylacetamides",NA
"HILIC-neg_Cluster_1529",NA,NA
"HILIC-neg_Cluster_1534","Triterpenoids",NA
"HILIC-neg_Cluster_1542","Triterpenoids",NA
"HILIC-neg_Cluster_1591",NA,NA
"HILIC-neg_Cluster_1793",NA,NA
"HILIC-neg_Cluster_1821",NA,NA
"HILIC-neg_Cluster_1835",NA,NA
"HILIC-pos_Cluster_0027","Unsaturated hydrocarbons",NA
"HILIC-pos_Cluster_0118","Pyrroles",NA
"HILIC-pos_Cluster_0119","Pyrroles",NA
"HILIC-pos_Cluster_0138","Tropane alkaloids",NA
"HILIC-pos_Cluster_0165",NA,NA
"HILIC-pos_Cluster_0207","Dipeptides",NA
"HILIC-pos_Cluster_0380","Cyclic olefins",NA
"HILIC-pos_Cluster_0396","Benzene and substituted derivatives",NA
"HILIC-pos_Cluster_0466","Sesquiterpenoids",NA
"HILIC-pos_Cluster_0493","Alpha-branched alpha,beta-unsaturated ketones",NA
"HILIC-pos_Cluster_0569","Long-chain fatty acids",NA
"HILIC-pos_Cluster_0618","Indoles and derivatives",NA
"HILIC-pos_Cluster_0639","Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids",NA
"HILIC-pos_Cluster_0721",NA,NA
"HILIC-pos_Cluster_1058","Ketones",NA
"HILIC-pos_Cluster_1733",NA,NA
"HILIC-pos_Cluster_1745","O-glycosyl compounds",NA
"HILIC-pos_Cluster_1821",NA,NA
"HILIC-pos_Cluster_1930","Triterpenoids",NA
"HILIC-pos_Cluster_1964",NA,NA
"HILIC-pos_Cluster_2155","Stigmastanes and derivatives",NA
"C18-neg_Cluster_0035",NA,NA
"C18-neg_Cluster_0109","Fatty acid esters",NA
"C18-neg_Cluster_0136","Fatty acids and conjugates",NA
"C18-neg_Cluster_0197","Fatty acids and conjugates",NA
"C18-neg_Cluster_0388","Furanoid lignans",NA
"C18-neg_Cluster_0404","Flavonoids",NA
"C18-neg_Cluster_0500","Flavonoids",NA
"C18-neg_Cluster_0579","Amino acids, peptides, and analogues",NA
"C18-neg_Cluster_0734","Thienopyridines",NA
"C18-neg_Cluster_0738",NA,NA
"C18-neg_Cluster_0772","Flavonoids",NA
"C18-neg_Cluster_0814","Hydroxybenzoic acid derivatives",NA
"C18-neg_Cluster_0953",NA,NA
"C18-neg_Cluster_1278","Hydroxy acids and derivatives",NA
"C18-neg_Cluster_1377",NA,NA
"C18-neg_Cluster_1379",NA,NA
"C18-neg_Cluster_1392",NA,NA
"C18-neg_Cluster_1501",NA,NA
"C18-neg_Cluster_1537",NA,NA
"C18-neg_Cluster_1873",NA,NA
"C18-neg_Cluster_1874",NA,NA
"C18-neg_Cluster_1897",NA,NA
"C18-neg_Cluster_2107",NA,NA
"C18-neg_Cluster_2147",NA,NA
"C18-neg_Cluster_2172",NA,NA
"C8-pos_Cluster_0148","Acetals",NA
"C8-pos_Cluster_0276",NA,NA
"C8-pos_Cluster_0483",NA,NA
"C8-pos_Cluster_0780","Oligosaccharides",NA
"C8-pos_Cluster_1064","Sphingolipids",NA
"C8-pos_Cluster_1266",NA,NA
"C8-pos_Cluster_1342",NA,NA
"C8-pos_Cluster_1436","1-(1Z-alkenyl),2-acyl-glycerophosphates",NA
"C8-pos_Cluster_1643",NA,NA
"C8-pos_Cluster_1780","Sphingolipids",NA
"C8-pos_Cluster_1858","Organic phosphoric acids and derivatives",NA
"C8-pos_Cluster_1984","Ubiquinones",NA
"C8-pos_Cluster_2055","Sphingolipids",NA
"C8-pos_Cluster_2062","1-alkyl,2-acylglycero-3-phosphocholines",NA
